"pubid","year","interestgov","regvote","didvote"
255,2006,NA,NA,NA
255,2008,NA,NA,NA
255,2010,NA,NA,NA
256,2004,2,NA,1
256,2006,3,1,0
256,2008,2,1,0
256,2010,2,NA,1
257,2004,2,NA,0
257,2006,3,NA,0
257,2008,2,1,NA
257,2010,2,1,0
258,2004,1,NA,1
258,2006,2,NA,1
258,2008,2,1,NA
258,2010,2,1,0
259,2004,2,NA,1
259,2006,NA,NA,NA
259,2008,NA,NA,NA
259,2010,NA,NA,NA
260,2004,1,NA,0
260,2006,1,1,0
260,2008,1,NA,1
260,2010,1,1,0
261,2004,2,0,0
261,2006,2,0,NA
261,2008,3,0,0
261,2010,3,0,0
262,2004,3,0,0
262,2006,2,0,NA
262,2008,NA,0,0
262,2010,4,0,NA
263,2004,3,0,0
263,2006,2,1,NA
263,2008,3,NA,1
263,2010,3,NA,1
264,2004,2,NA,1
264,2006,2,1,NA
264,2008,2,NA,1
264,2010,1,1,0
265,2004,4,1,0
265,2006,2,0,0
265,2008,2,0,0
265,2010,4,1,NA
266,2004,2,NA,1
266,2006,2,1,0
266,2008,2,1,0
266,2010,2,1,0
267,2004,2,NA,1
267,2006,2,1,0
267,2008,2,1,NA
267,2010,2,1,0
268,2004,2,0,0
268,2006,4,0,0
268,2008,4,1,NA
268,2010,4,NA,1
269,2004,NA,NA,NA
269,2006,NA,NA,NA
269,2008,NA,NA,NA
269,2010,NA,NA,NA
270,2004,3,NA,1
270,2006,4,NA,0
270,2008,3,0,0
270,2010,3,1,0
271,2004,4,0,0
271,2006,4,0,0
271,2008,4,0,NA
271,2010,4,NA,0
272,2004,3,1,0
272,2006,3,1,0
272,2008,4,1,0
272,2010,4,1,NA
273,2004,4,0,0
273,2006,4,0,0
273,2008,NA,NA,NA
273,2010,4,0,0
274,2004,3,0,0
274,2006,4,NA,0
274,2008,2,0,NA
274,2010,2,0,0
275,2004,4,0,0
275,2006,4,0,NA
275,2008,4,0,NA
275,2010,2,NA,0
276,2004,4,0,0
276,2006,4,NA,0
276,2008,3,0,NA
276,2010,NA,NA,NA
277,2004,4,0,0
277,2006,NA,NA,NA
277,2008,NA,NA,NA
277,2010,NA,NA,NA
278,2004,2,0,0
278,2006,2,0,0
278,2008,1,0,NA
278,2010,2,0,0
279,2004,NA,NA,NA
279,2006,NA,NA,NA
279,2008,NA,NA,NA
